subgenus Drosophila	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	over_represented_FDR	go_term	gene_ids
subgenus Drosophila	GO:0051173	6.6867561498033E-06	1	2	2	positive regulation of nitrogen compound metabolic process	BP	0.000486234372043	BP positive regulation of nitrogen compound metabolic process	group7814, group8809
subgenus Drosophila	GO:1901566	6.78041082704627E-06	1	2	2	organonitrogen compound biosynthetic process	BP	0.000486234372043	BP organonitrogen compound biosynthetic process	group7772, group8591
subgenus Drosophila	GO:0015833	6.97305808516605E-06	1	2	2	peptide transport	BP	0.000486234372043	BP peptide transport	group8518, group9250
subgenus Drosophila	GO:0042886	6.97305808516605E-06	1	2	2	amide transport	BP	0.000486234372043	BP amide transport	group8518, group9250
subgenus Drosophila	GO:0051649	6.97305808516605E-06	1	2	2	establishment of localization in cell	BP	0.000486234372043	BP establishment of localization in cell	group8518, group9250
subgenus Drosophila	GO:0071705	6.97305808516605E-06	1	2	2	nitrogen compound transport	BP	0.000486234372043	BP nitrogen compound transport	group8518, group9250
subgenus Drosophila	GO:0044248	7.13429644041429E-06	1	2	2	cellular catabolic process	BP	0.000492504234661	BP cellular catabolic process	group8369, group8496
subgenus Drosophila	GO:0044271	7.21369423049932E-06	1	2	2	cellular nitrogen compound biosynthetic process	BP	0.000492504234661	BP cellular nitrogen compound biosynthetic process	group7814, group8591
subgenus Drosophila	GO:0070647	7.24722530115775E-06	1	2	2	protein modification by small protein conjugation or removal	BP	0.000492504234661	BP protein modification by small protein conjugation or removal	group7814, group8496
subgenus Drosophila	GO:0006996	7.9781384802501E-06	0.999999996174456	2	3	organelle organization	BP	0.00053761926448	BP organelle organization	group8809, group2599
subgenus Drosophila	GO:0048856	1.01762940834846E-05	0.999999922800316	3	24	anatomical structure development	BP	0.000680030852129	BP anatomical structure development	group8809, group2599, group9097
subgenus Drosophila	GO:0140110	1.08753064328732E-05	0.999999993909732	2	3	transcription regulator activity	MF	0.000720736217233	MF transcription regulator activity	group7814, group1728
subgenus Drosophila	GO:0034613	1.13095982050947E-05	0.999999912337828	3	21	cellular protein localization	BP	0.000743374327923	BP cellular protein localization	group8518, group8809, group9250
subgenus Drosophila	GO:0007275	1.66445522057032E-05	0.999999847051875	3	33	multicellular organism development	BP	0.001085143610874	BP multicellular organism development	group8809, group2599, group9097
subgenus Drosophila	GO:1990234	2.03287123941827E-05	0.999999984423126	2	3	transferase complex	CC	0.001314644715233	CC transferase complex	group7814, group8496
subgenus Drosophila	GO:1901575	3.38348634460247E-05	0.999999952678783	2	4	organic substance catabolic process	BP	0.002170574159789	BP organic substance catabolic process	group8369, group8496
subgenus Drosophila	GO:0005737	4.12771947255996E-05	0.999996748509981	9	1144	cytoplasm	CC	0.002626998607179	CC cytoplasm	group8518, group8369, group8809, group9250, group9097, group7772, group1728, group2649, group8591
subgenus Drosophila	GO:0009056	4.25529656296289E-05	0.999999933230159	2	4	catabolic process	BP	0.002686867963653	BP catabolic process	group8369, group8496
subgenus Drosophila	GO:0008104	5.28388377265694E-05	0.999999268226771	3	47	protein localization	BP	0.003310270622886	BP protein localization	group8518, group8809, group9250
subgenus Drosophila	GO:0048513	5.41092845346673E-05	0.999999888740083	2	5	animal organ development	BP	0.003363584129329	BP animal organ development	group8809, group9097
subgenus Drosophila	GO:0071702	6.18670336697735E-05	0.999999843565817	2	7	organic substance transport	BP	0.003816244176907	BP organic substance transport	group8518, group9250
subgenus Drosophila	GO:0045184	6.42585757751255E-05	0.999999827916384	2	8	establishment of protein localization	BP	0.0039335077797	BP establishment of protein localization	group8518, group9250
subgenus Drosophila	GO:0006139	6.72486358200179E-05	0.99999982268739	2	7	nucleobase-containing compound metabolic process	BP	0.004085354626066	BP nucleobase-containing compound metabolic process	group7814, group2599
subgenus Drosophila	GO:0050790	7.05633386440666E-05	0.999999819555739	2	6	regulation of catalytic activity	BP	0.004254491823961	BP regulation of catalytic activity	group8809, group9097
subgenus Drosophila	GO:0005654	7.89231527778918E-05	0.999997344090355	4	133	nucleoplasm	CC	0.00472302061288	CC nucleoplasm	group7814, group9250, group2599, group9097
subgenus Drosophila	GO:0005815	8.1554184859231E-05	0.999999741138343	2	10	microtubule organizing center	CC	0.004844318580638	CC microtubule organizing center	group8809, group9097
subgenus Drosophila	GO:0045595	9.52250136639849E-05	0.999999689306232	2	8	regulation of cell differentiation	BP	0.005614774886555	BP regulation of cell differentiation	group8809, group1728
subgenus Drosophila	GO:0032446	0.000121034033757	0.999999554521748	2	8	protein modification by small protein conjugation	BP	0.007084466545252	BP protein modification by small protein conjugation	group7814, group8496
subgenus Drosophila	GO:0012505	0.000231970677254	0.999989613040198	4	145	endomembrane system	CC	0.013479513484803	CC endomembrane system	group8518, group8809, group7772, group1728
subgenus Drosophila	GO:0046907	0.000268137213595	0.999998383165986	2	13	intracellular transport	BP	0.015469009466326	BP intracellular transport	group8518, group9250
subgenus Drosophila	GO:0010468	0.000309387227367	0.999992039216725	3	75	regulation of gene expression	BP	0.017721258401815	BP regulation of gene expression	group7814, group8525, group1728
subgenus Drosophila	GO:0005515	0.000355349758654	0.99996839897541	6	639	protein binding	MF	0.020209572444296	MF protein binding	group7814, group8369, group8809, group2599, group9097, group8591
subgenus Drosophila	GO:0015630	0.000387250816363	0.999997116794544	2	16	microtubule cytoskeleton	CC	0.021868762650824	CC microtubule cytoskeleton	group8809, group9097
subgenus Drosophila	GO:0005694	0.000691556036779	0.99999285211589	2	24	chromosome	CC	0.038780334677834	CC chromosome	group2599, group9097
subgenus Drosophila	GO:0000151	0.001019454600046	0.999987175472544	2	24	ubiquitin ligase complex	CC	0.056770878040075	CC ubiquitin ligase complex	group7814, group8496
